Entry,Gene names (primary),Gene names (synonym),EntryName
P41231,P2RY2,P2RU1,P2RY2_HUMAN
Q9H244,P2RY12,HORK3,P2Y12_HUMAN
Q9BPV8,P2RY13,GPR86;GPR94,P2Y13_HUMAN
Q15391,P2RY14,GPR105;KIAA0001,P2Y14_HUMAN
O00254,F2RL2,PAR3,PAR3_HUMAN
Q13258,PTGDR,,PD2R_HUMAN
P43116,PTGER2,,PE2R2_HUMAN
P35408,PTGER4,PTGER2,PE2R4_HUMAN
P43088,PTGFR,,PF2R_HUMAN
Q8TCW9,PROKR1,GPR73;PKR1,PKR1_HUMAN
P49683,PRLHR,GPR10;GR3,PRLHR_HUMAN
P25105,PTAFR,PAFR,PTAFR_HUMAN
P49190,PTH2R,PTHR2,PTH2R_HUMAN
Q96P65,QRFPR,GPR103,QRFPR_HUMAN
Q8NFJ5,GPRC5A,GPCR5A;RAI3;RAIG1,RAI3_HUMAN
Q8TDU9,RXFP4,GPR100;RLN3R2,RL3R2_HUMAN
P47898,HTR5A,,5HT5A_HUMAN
P0DMS8,ADORA3,,AA3R_HUMAN
P29275,ADORA2B,,AA2BR_HUMAN
P11229,CHRM1,,ACM1_HUMAN
P08173,CHRM4,,ACM4_HUMAN
P08912,CHRM5,,ACM5_HUMAN
P35368,ADRA1B,,ADA1B_HUMAN
P08588,ADRB1,ADRB1R;B1AR,ADRB1_HUMAN
P35414,APLNR,AGTRL1;APJ,APJ_HUMAN
O60241,ADGRB2,BAI2,AGRB2_HUMAN
O60242,ADGRB3,BAI3;KIAA0550,AGRB3_HUMAN
P30411,BDKRB2,BKR2,BKRB2_HUMAN
P32247,BRS3,,BRS3_HUMAN
Q16602,CALCRL,CGRPR,CALRL_HUMAN
P32248,CCR7,CMKBR7;EBI1;EVI1,CCR7_HUMAN
P51686,CCR9,GPR28,CCR9_HUMAN
Q9NYQ6,CELSR1,CDHF9;FMI2,CELR1_HUMAN
Q9HCU4,CELSR2,CDHF10;EGFL2;KIAA0279;MEGF3,CELR2_HUMAN
Q9NYQ7,CELSR3,CDHF11;EGFL1;FMI1;KIAA0812;MEGF2,CELR3_HUMAN
Q13324,CRHR2,CRF2R;CRH2R,CRFR2_HUMAN
P32302,CXCR5,BLR1;MDR15,CXCR5_HUMAN
Q9HBW9,ADGRL4,ELTD1;ETL,AGRL4_HUMAN
Q14246,ADGRE1,EMR1;TM7LN3,AGRE1_HUMAN
Q9UHX3,ADGRE2,EMR2,AGRE2_HUMAN
Q9BY15,ADGRE3,EMR3,AGRE3_HUMAN
Q86SQ3,ADGRE4P,EMR4;EMR4P;GPR127;PGR16,AGRE4_HUMAN
P25089,FPR3,FPRH1;FPRL2,FPR3_HUMAN
Q9ULW2,FZD10,,FZD10_HUMAN
Q9UP38,FZD1,,FZD1_HUMAN
Q14332,FZD2,,FZD2_HUMAN
Q9NPG1,FZD3,,FZD3_HUMAN
O60353,FZD6,,FZD6_HUMAN
Q13467,FZD5,C2orf31,FZD5_HUMAN
O75084,FZD7,,FZD7_HUMAN
Q9H461,FZD8,,FZD8_HUMAN
O00144,FZD9,FZD3,FZD9_HUMAN
P47211,GALR1,GALNR;GALNR1,GALR1_HUMAN
O60755,GALR3,GALNR3,GALR3_HUMAN
Q02643,GHRHR,,GHRHR_HUMAN
P48546,GIPR,,GIPR_HUMAN
O95838,GLP2R,,GLP2R_HUMAN
Q8IZF6,ADGRG4,GPR112,AGRG4_HUMAN
Q8IZF2,ADGRF5,GPR116;KIAA0758,AGRF5_HUMAN
Q8IWK6,ADGRA3,GPR125,AGRA3_HUMAN
Q96K78,ADGRG7,GPR128,AGRG7_HUMAN
Q96CH1,GPR146,PGR8,GP146_HUMAN
Q86SP6,GPR149,PGR10,GP149_HUMAN
Q8TDV0,GPR151,PGR7,GP151_HUMAN
Q8NGU9,GPR150,,GP150_HUMAN
Q5T848,GPR158,KIAA1136,GP158_HUMAN
Q5UAW9,GPR157,,GP157_HUMAN
Q9UJ42,GPR160,GPCR150,GP160_HUMAN
Q8N6U8,GPR161,,GP161_HUMAN
Q8NFN8,GPR156,GABABL;PGR28,GP156_HUMAN
Q16538,GPR162,GRCA,GP162_HUMAN
Q14439,GPR176,,GP176_HUMAN
O15218,GPR182,ADMR,GP182_HUMAN
Q9BXC1,GPR174,,GP174_HUMAN
Q6PRD1,GPR179,GPR158L;GPR158L1,GP179_HUMAN
Q5T6X5,GPRC6A,,GPC6A_HUMAN
P49685,GPR15,,GPR15_HUMAN
Q15760,GPR19,,GPR19_HUMAN
Q99680,GPR22,,GPR22_HUMAN
O00155,GPR25,,GPR25_HUMAN
Q9NS67,GPR27,SREB1,GPR27_HUMAN
Q49SQ1,GPR33,,GPR33_HUMAN
O75388,GPR32,,GPR32_HUMAN
Q9NYM4,GPR83,GPR72;KIAA1540,GPR83_HUMAN
Q86Y34,ADGRG3,GPR97;PGR26,AGRG3_HUMAN
Q13255,GRM1,GPRC1A;MGLUR1,GRM1_HUMAN
Q14416,GRM2,GPRC1B;MGLUR2,GRM2_HUMAN
Q14832,GRM3,GPRC1C;MGLUR3,GRM3_HUMAN
P41594,GRM5,GPRC1E;MGLUR5,GRM5_HUMAN
O15303,GRM6,GPRC1F;MGLUR6,GRM6_HUMAN
Q14831,GRM7,GPRC1G;MGLUR7,GRM7_HUMAN
O00222,GRM8,GPRC1H;MGLUR8,GRM8_HUMAN
P30550,GRPR,,GRPR_HUMAN
Q8TDS4,HCAR2,GPR109A;HCA2;HM74A;NIACR1,HCAR2_HUMAN
Q9HBX8,LGR6,,LGR6_HUMAN
Q9UBY5,LPAR3,EDG7;LPA3,LPAR3_HUMAN
O94910,ADGRL1,KIAA0821;LEC2;LPHN1,AGRL1_HUMAN
Q9HAR2,ADGRL3,KIAA0768;LEC3;LPHN3,AGRL3_HUMAN
Q86SM8,MRGPRE,GPR167;MRGE,MRGRE_HUMAN
Q86SM5,MRGPRG,GPR169;MRGG,MRGRG_HUMAN
P48039,MTNR1A,,MTR1A_HUMAN
P49286,MTNR1B,,MTR1B_HUMAN
P29371,TACR3,NK3R;TAC3R,NK3R_HUMAN
P28336,NMBR,,NMBR_HUMAN
Q9GZQ6,NPFFR1,GPR147;NPFF1,NPFF1_HUMAN
P25929,NPY1R,NPYR;NPYY1,NPY1R_HUMAN
P50391,NPY4R,PPYR1,NPY4R_HUMAN
Q15761,NPY5R,NPYR5,NPY5R_HUMAN
P30989,NTSR1,NTRR,NTR1_HUMAN
O95665,NTSR2,,NTR2_HUMAN
Q9H1Y3,OPN3,ECPN,OPN3_HUMAN
Q9UHM6,OPN4,MOP,OPN4_HUMAN
Q6U736,OPN5,GPR136;PGR12;TMEM13,OPN5_HUMAN
P41146,OPRL1,OOR;ORL1,OPRX_HUMAN
P03999,OPN1SW,BCP,OPSB_HUMAN
P04001,OPN1MW,GCP,OPSG_HUMAN
P04000,OPN1LW,RCP,OPSR_HUMAN
P30559,OXTR,,OXYR_HUMAN
O00398,P2RY10,,P2Y10_HUMAN
Q96G91,P2RY11,,P2Y11_HUMAN
P41586,ADCYAP1R1,,PACR_HUMAN
P25116,F2R,CF2R;PAR1;TR,PAR1_HUMAN
Q96RI0,F2RL3,PAR4,PAR4_HUMAN
P34995,PTGER1,,PE2R1_HUMAN
P43119,PTGIR,PRIPR,PI2R_HUMAN
Q8IYL9,GPR65,TDAG8,PSYR_HUMAN
Q9HBX9,RXFP1,LGR7,RXFP1_HUMAN
Q8WXD0,RXFP2,GPR106;GREAT;LGR8,RXFP2_HUMAN
Q99500,S1PR3,EDG3,S1PR3_HUMAN
O95136,S1PR2,EDG5,S1PR2_HUMAN
Q9H228,S1PR5,EDG8,S1PR5_HUMAN
O95977,S1PR4,EDG6,S1PR4_HUMAN
P47872,SCTR,,SCTR_HUMAN
Q99835,SMO,SMOH,SMO_HUMAN
P30872,SSTR1,,SSR1_HUMAN
P32745,SSTR3,,SSR3_HUMAN
P31391,SSTR4,,SSR4_HUMAN
P35346,SSTR5,,SSR5_HUMAN
Q9BXA5,SUCNR1,GPR91,SUCR1_HUMAN
P59534,TAS2R39,,T2R39_HUMAN
Q7RTR8,TAS2R42,TAS2R55,T2R42_HUMAN
P59539,TAS2R45,GPR59,T2R45_HUMAN
Q9NYW5,TAS2R4,,TA2R4_HUMAN
Q9P1P4,TAAR3,GPR57,TAAR3_HUMAN
O14804,TAAR5,PNR,TAAR5_HUMAN
Q96RI9,TAAR9,TA3;TAR3;TRAR3,TAAR9_HUMAN
Q96RI8,TAAR6,TA4;TAR4;TRAR4,TAAR6_HUMAN
Q9P1P5,TAAR2,GPR58,TAAR2_HUMAN
Q96RJ0,TAAR1,TA1;TAR1;TRAR1,TAAR1_HUMAN
Q969N4,TAAR8,GPR102;TA5;TAR5;TRAR5,TAAR8_HUMAN
P34981,TRHR,,TRFR_HUMAN
Q7RTX1,TAS1R1,GPR70;T1R1;TR1,TS1R1_HUMAN
Q8TE23,TAS1R2,GPR71;T1R2;TR2,TS1R2_HUMAN
Q7RTX0,TAS1R3,T1R3;TR3,TS1R3_HUMAN
Q9UKP6,UTS2R,GPR14,UR2R_HUMAN
P37288,AVPR1A,AVPR1,V1AR_HUMAN
P47901,AVPR1B,AVPR3;VPR3,V1BR_HUMAN
P41587,VIPR2,VIP2R,VIPR2_HUMAN
P46094,XCR1,CCXCR1;GPR5,XCR1_HUMAN
